Epoch_num:  0 val_acc: tensor(0.5874, device='cuda:0')
Epoch_num:  0 train_acc: tensor(0.6071, device='cuda:0')
Epoch_num:  1 val_acc: tensor(0.7309, device='cuda:0')
Epoch_num:  1 train_acc: tensor(0.7622, device='cuda:0')
Epoch_num:  2 val_acc: tensor(0.7500, device='cuda:0')
Epoch_num:  2 train_acc: tensor(0.8000, device='cuda:0')
Epoch_num:  0 val_acc: tensor(0.6149, device='cuda:0')
Epoch_num:  0 train_acc: tensor(0.6286, device='cuda:0')
Epoch_num:  1 val_acc: tensor(0.7144, device='cuda:0')
Epoch_num:  1 train_acc: tensor(0.7361, device='cuda:0')
Epoch_num:  2 val_acc: tensor(0.7495, device='cuda:0')
Epoch_num:  2 train_acc: tensor(0.8016, device='cuda:0')
Epoch_num:  3 val_acc: tensor(0.7906, device='cuda:0')
Epoch_num:  3 train_acc: tensor(0.8585, device='cuda:0')
Epoch_num:  4 val_acc: tensor(0.8013, device='cuda:0')
Epoch_num:  4 train_acc: tensor(0.9013, device='cuda:0')
Epoch_num:  5 val_acc: tensor(0.8094, device='cuda:0')
Epoch_num:  5 train_acc: tensor(0.9277, device='cuda:0')
Epoch_num:  6 val_acc: tensor(0.8182, device='cuda:0')
Epoch_num:  6 train_acc: tensor(0.9515, device='cuda:0')
Epoch_num:  7 val_acc: tensor(0.7987, device='cuda:0')
Epoch_num:  7 train_acc: tensor(0.9490, device='cuda:0')
Epoch_num:  8 val_acc: tensor(0.8057, device='cuda:0')
Epoch_num:  8 train_acc: tensor(0.9602, device='cuda:0')
Epoch_num:  9 val_acc: tensor(0.8232, device='cuda:0')
Epoch_num:  9 train_acc: tensor(0.9782, device='cuda:0')
Epoch_num:  10 val_acc: tensor(0.7969, device='cuda:0')
Epoch_num:  10 train_acc: tensor(0.9638, device='cuda:0')
